step,train_loss,train_vqa_open,train_vqa_close
0,0.0008210705709643662,"tensor(0.8000, device='cuda:0')","tensor(0., device='cuda:0')"
0,0.0012673120945692062,"tensor(0.8000, device='cuda:0')","tensor(0.5000, device='cuda:0')"
0,0.0006817213725298643,"tensor(0.8000, device='cuda:0')","tensor(0.7143, device='cuda:0')"
0,0.001406433410011232,"tensor(0.4762, device='cuda:0')","tensor(0.5556, device='cuda:0')"
0,0.0006884974427521229,"tensor(0.4444, device='cuda:0')","tensor(0.6190, device='cuda:0')"
0,0.0073367939330637455,"tensor(0.4167, device='cuda:0')","tensor(0.6667, device='cuda:0')"
0,0.0010164359118789434,"tensor(0.4200, device='cuda:0')","tensor(0.6667, device='cuda:0')"
0,0.001853680470958352,"tensor(0.4038, device='cuda:0')","tensor(0.7037, device='cuda:0')"
1,0.0024608620442450047,"tensor(0.4000, device='cuda:0')","tensor(0.7037, device='cuda:0')"
1,0.0015362331178039312,"tensor(0.4000, device='cuda:0')","tensor(0.5429, device='cuda:0')"
1,0.007239066995680332,"tensor(0.3944, device='cuda:0')","tensor(0.5789, device='cuda:0')"
1,0.0018326649442315102,"tensor(0.3867, device='cuda:0')","tensor(0.5366, device='cuda:0')"
1,0.0027549159713089466,"tensor(0.3529, device='cuda:0')","tensor(0.5366, device='cuda:0')"
1,0.0007248783949762583,"tensor(0.3529, device='cuda:0')","tensor(0.5870, device='cuda:0')"
1,0.024536482989788055,"tensor(0.3297, device='cuda:0')","tensor(0.5870, device='cuda:0')"
1,0.02021063305437565,"tensor(0.3019, device='cuda:0')","tensor(0.5870, device='cuda:0')"
2,0.02255331724882126,"tensor(0.2936, device='cuda:0')","tensor(0.6000, device='cuda:0')"
2,0.006409947294741869,"tensor(0.2540, device='cuda:0')","tensor(0.6154, device='cuda:0')"
2,0.0007536874618381262,"tensor(0.2540, device='cuda:0')","tensor(0.6441, device='cuda:0')"
2,0.0009648714330978692,"tensor(0.2540, device='cuda:0')","tensor(0.6406, device='cuda:0')"
2,0.0008528754697181284,"tensor(0.2540, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,0.0006602631765417755,"tensor(0.2519, device='cuda:0')","tensor(0.6618, device='cuda:0')"
2,0.0005933225038461387,"tensor(0.2434, device='cuda:0')","tensor(0.6761, device='cuda:0')"
2,0.0004998671356588602,"tensor(0.2420, device='cuda:0')","tensor(0.6761, device='cuda:0')"
3,0.0006805480225011706,"tensor(0.2375, device='cuda:0')","tensor(0.6892, device='cuda:0')"
3,0.00395371625199914,"tensor(0.2222, device='cuda:0')","tensor(0.6892, device='cuda:0')"
3,0.0016073938459157944,"tensor(0.2360, device='cuda:0')","tensor(0.6892, device='cuda:0')"
3,0.002113963244482875,"tensor(0.2275, device='cuda:0')","tensor(0.6892, device='cuda:0')"
3,0.002233159029856324,"tensor(0.2129, device='cuda:0')","tensor(0.6974, device='cuda:0')"
3,0.04779824614524841,"tensor(0.2036, device='cuda:0')","tensor(0.7051, device='cuda:0')"
3,0.0006315322825685143,"tensor(0.2212, device='cuda:0')","tensor(0.7160, device='cuda:0')"
3,0.001329823979176581,"tensor(0.2212, device='cuda:0')","tensor(0.7326, device='cuda:0')"
